Code,Longitude,Latitude,County,State,City,Name,ID2,ID,Depart,
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,857.5,858,0,0
DSM,-93.66068222,41.53493306,USA,IA,Des Moines,Des Moines International,858,858,1,0
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,858.5,859,0,0
DTW,-83.34883583,42.21205889,USA,MI,Detroit,Detroit Metropolitan-Wayne County,859,859,1,0
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,859.5,860,0,0
EWR,-74.16866056,40.69249722,USA,NJ,Newark,Newark Intl,860,860,1,0
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,860.5,861,0,0
FLL,-80.15275,26.07258333,USA,FL,Ft. Lauderdale,Fort Lauderdale-Hollywood Int'l,861,861,1,0
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,861.5,862,0,0
GRR,-85.52276778,42.88081972,USA,MI,Grand Rapids,Kent County International,862,862,1,0
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,862.5,863,0,0
GSO,-79.9372975,36.09774694,USA,NC,Greensboro,Piedmont Triad International,863,863,1,0
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,863.5,864,0,0
GSP,-82.21885833,34.89566722,USA,SC,Greer,Greenville-Spartanburg,864,864,1,0
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,864.5,865,0,0
IAD,-77.45580972,38.94453194,USA,VA,Chantilly,Washington Dulles International,865,865,1,0
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,865.5,866,0,0
IAH,-95.33972222,29.98047222,USA,TX,Houston,George Bush Intercontinental,866,866,1,0
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,866.5,867,0,0
IND,-86.29438417,39.71732917,USA,IN,Indianapolis,Indianapolis International,867,867,1,0
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,867.5,868,0,0
JAX,-81.68786111,30.49405556,USA,FL,Jacksonville,Jacksonville International,868,868,1,0
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,868.5,869,0,0
JFK,-73.77892556,40.63975111,USA,NY,New York,John F Kennedy Intl,869,869,1,0
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,869.5,870,0,0
LAS,-115.1523333,36.08036111,USA,NV,Las Vegas,McCarran International,870,870,1,0
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,870.5,871,0,0
LAX,-118.4080744,33.94253611,USA,CA,Los Angeles,Los Angeles International,871,871,1,0
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,871.5,872,0,0
LEX,-84.60538889,38.03697222,USA,KY,Lexington,Blue Grass,872,872,1,0
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,872.5,873,0,0
LGA,-73.87260917,40.77724306,USA,NY,New York,LaGuardia,873,873,1,0
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,873.5,874,0,0
MCI,-94.71390556,39.29760528,USA,MO,Kansas City,Kansas City International,874,874,1,0
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,874.5,875,0,0
MCO,-81.31602778,28.42888889,USA,FL,Orlando,Orlando International,875,875,1,0
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,875.5,876,0,0
MDT,-76.76340361,40.19349528,USA,PA,Harrisburg,Harrisburg Intl,876,876,1,0
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,876.5,877,0,0
MDW,-87.75242444,41.7859825,USA,IL,Chicago,Chicago Midway,877,877,1,0
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,877.5,878,0,0
MEM,-89.97666667,35.04241667,USA,TN,Memphis,Memphis International,878,878,1,0
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,878.5,879,0,0
MHT,-71.43705583,42.93451639,USA,NH,Manchester,Manchester,879,879,1,0
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,879.5,880,0,0
MIA,-80.29055556,25.79325,USA,FL,Miami,Miami International,880,880,1,0
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,880.5,881,0,0
MKE,-87.89658333,42.94722222,USA,WI,Milwaukee,General Mitchell International,881,881,1,0
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,881.5,882,0,0
MSN,-89.33751361,43.13985778,USA,WI,Madison,Dane County Regional,882,882,1,0
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,882.5,883,0,0
MSP,-93.2169225,44.88054694,USA,MN,Minneapolis,Minneapolis-St Paul Intl,883,883,1,0
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,883.5,884,0,0
MSY,-90.25802778,29.99338889,USA,LA,New Orleans,New Orleans International,884,884,1,0
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,884.5,885,0,0
OKC,-97.60073389,35.39308833,USA,OK,Oklahoma City,Will Rogers World,885,885,1,0
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,885.5,886,0,0
OMA,-95.89417306,41.30251861,USA,NE,Omaha,Eppley Airfield,886,886,1,0
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,886.5,887,0,0
ORD,-87.90446417,41.979595,USA,IL,Chicago,Chicago O'Hare International,887,887,1,0
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,887.5,888,0,0
ORF,-76.20122222,36.89461111,USA,VA,Norfolk,Norfolk International,888,888,1,0
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,888.5,889,0,0
PBI,-80.09559417,26.68316194,USA,FL,West Palm Beach,Palm Beach International,889,889,1,0
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,889.5,890,0,0
PHL,-75.24114083,39.87195278,USA,PA,Philadelphia,Philadelphia Intl,890,890,1,0
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,890.5,891,0,0
PHX,-112.0080556,33.43416667,USA,AZ,Phoenix,Phoenix Sky Harbor International,891,891,1,0
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,891.5,892,0,0
PVD,-71.42822111,41.72399917,USA,RI,Providence,Theodore F Green State,892,892,1,0
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,892.5,893,0,0
PWM,-70.30875,43.64616667,USA,ME,Portland,Portland International Jetport,893,893,1,0
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,893.5,894,0,0
RDU,-78.78747222,35.87763889,USA,NC,Raleigh,Raleigh-Durham International,894,894,1,0
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,894.5,895,0,0
RIC,-77.31966667,37.50516667,USA,VA,Richmond,Richmond International,895,895,1,0
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,895.5,896,0,0
ROC,-77.67238389,43.11886611,USA,NY,Rochester,Greater Rochester Int'l,896,896,1,0
